lambda,m,n_x,acceptance_rate_mean,acceptance_rate_std,ess_min_mean,ess_min_std,ess_mean_mean,ess_mean_std,converged_mean,converged_count,mcmc_time_mean,mcmc_time_std,n_forward_evals_mean,efficiency
0.5,3,50,0.0215,0.0194,400.0,0.0,400.0,0.0,0.0,6,0.0152,0.0009,1500.0,26315.79
0.5,3,100,0.0076,0.0062,400.0,0.0,400.0,0.0,0.0,6,0.0149,0.0005,1500.0,26845.64
0.5,5,50,0.0137,0.009,400.0,0.0,400.0,0.0,0.0,6,0.0151,0.0003,1500.0,26490.07
0.5,5,100,0.0048,0.0016,400.0,0.0,400.0,0.0,0.0,6,0.0152,0.0002,1500.0,26315.79
1.0,3,50,0.0076,0.0062,400.0,0.0,400.0,0.0,0.0,6,0.0147,0.0002,1500.0,27210.88
1.0,3,100,0.0042,0.001,400.0,0.0,400.0,0.0,0.0,6,0.0148,0.0002,1500.0,27027.03
1.0,5,50,0.0048,0.0016,400.0,0.0,400.0,0.0,0.0,6,0.0153,0.0007,1500.0,26143.79
1.0,5,100,0.0038,0.0005,400.0,0.0,400.0,0.0,0.0,6,0.0148,0.0004,1500.0,27027.03
2.0,3,50,0.0042,0.001,400.0,0.0,400.0,0.0,0.0,6,0.0149,0.0002,1500.0,26845.64
2.0,3,100,0.0042,0.0011,400.0,0.0,400.0,0.0,0.0,6,0.0146,0.0003,1500.0,27397.26
2.0,5,50,0.0038,0.0005,400.0,0.0,400.0,0.0,0.0,6,0.0151,0.0003,1500.0,26490.07
2.0,5,100,0.0038,0.0005,400.0,0.0,400.0,0.0,0.0,6,0.0148,0.0002,1500.0,27027.03
