sigma,s,lambda,n_x,L_hat,KL,eta_h,B_lambda
0.05,3,0.5,50,5254.3316,0.0,0.0002,5254.3618
0.05,3,0.5,100,5254.3316,0.0,0.0,5254.3616
0.05,3,1.0,50,5252.2882,0.0,0.0002,5252.3034
0.05,3,1.0,100,4814.3841,0.0,0.0,4814.3992
0.05,3,2.0,50,5251.2481,0.0,0.0002,5251.2558
0.05,3,2.0,100,5251.2481,0.0,0.0,5251.2556
0.05,5,0.5,50,8173.7673,0.0,0.0002,8173.7857
0.05,5,0.5,100,8178.215,0.0,0.0,8178.2333
0.05,5,1.0,50,8102.4672,0.0,0.0002,8102.4765
0.05,5,1.0,100,8779.9863,0.0,0.0,8779.9954
0.05,5,2.0,50,7469.1354,0.0,0.0002,7469.1402
0.05,5,2.0,100,8778.98,0.0,0.0,8778.9846
0.1,3,0.5,50,1378.0402,0.0,0.0002,1378.0703
0.1,3,0.5,100,1378.0402,0.0,0.0,1378.0702
0.1,3,1.0,50,1375.8753,0.0,0.0002,1375.8905
0.1,3,1.0,100,1375.8753,0.0,0.0,1375.8904
0.1,3,2.0,50,1290.3939,0.0,0.0002,1290.4017
0.1,3,2.0,100,1374.7125,0.0,0.0,1374.72
0.1,5,0.5,50,2171.8975,0.0,0.0002,2171.9159
0.1,5,0.5,100,2188.6247,0.0,0.0,2188.643
0.1,5,1.0,50,2169.8005,0.0,0.0002,2169.8099
0.1,5,1.0,100,2186.5821,0.0,0.0,2186.5913
0.1,5,2.0,50,2168.7542,0.0,0.0002,2168.759
0.1,5,2.0,100,2185.5001,0.0,0.0,2185.5047
0.2,3,0.5,50,418.3114,0.0,0.0002,418.3416
0.2,3,0.5,100,418.3114,0.0,0.0,418.3414
0.2,3,1.0,50,416.1147,0.0,0.0002,416.1299
0.2,3,1.0,100,416.1147,0.0,0.0,416.1297
0.2,3,2.0,50,415.0569,0.0,0.0002,415.0646
0.2,3,2.0,100,415.0569,0.0,0.0,415.0645
0.2,5,0.5,50,714.2859,0.0,0.0002,714.3042
0.2,5,0.5,100,751.3677,0.0,0.0,751.3857
0.2,5,1.0,50,712.0097,0.0,0.0002,712.0189
0.2,5,1.0,100,749.044,0.0,0.0,749.053
0.2,5,2.0,50,748.0029,0.0,0.0002,748.0076
0.2,5,2.0,100,707.172,0.0,0.0,707.1766
